catalog_id,slug,repository_skill,source_workbook
S0001,research-intent-router,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0002,research-question-formulator,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0006,feasibility-assessor,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0008,research-route-planner,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0013,human-approval-gate,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0014,scientific-validation-gate,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0015,long-task-state-manager,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0016,research-artifact-manager,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0017,audit-log-manager,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0028,method-extractor,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0029,parameter-extractor,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0030,claim-evidence-linker,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0031,reference-integrity-checker,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0119,charge-multiplicity-assignment,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0120,quantum-method-selector,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0121,dft-input-generator,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0122,geometry-optimization,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0123,frequency-analysis,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0124,transition-state-search,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0125,irc-analysis,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0126,reaction-pathway-explorer,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0127,thermochemistry-calculator,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0128,electronic-structure-analysis,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0129,weak-interaction-analysis,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0130,spectroscopy-predictor,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0320,evidence-level-labeler,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0321,hallucination-guard,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0322,model-governance,tsao-dft-researcher,AI_for_Science_最全Skill目录(3).xlsx
S0115,molecular-structure-builder,tsao-structure-prep,AI_for_Science_最全Skill目录(3).xlsx
S0116,structure-cleaner,tsao-structure-prep,AI_for_Science_最全Skill目录(3).xlsx
S0117,conformer-generator,tsao-structure-prep,AI_for_Science_最全Skill目录(3).xlsx
S0118,protonation-state-predictor,tsao-structure-prep,AI_for_Science_最全Skill目录(3).xlsx
S0119,charge-multiplicity-assignment,tsao-structure-prep,AI_for_Science_最全Skill目录(3).xlsx
S0131,crystal-structure-builder,tsao-structure-prep,AI_for_Science_最全Skill目录(3).xlsx
S0132,symmetry-analyzer,tsao-structure-prep,AI_for_Science_最全Skill目录(3).xlsx
S0133,surface-slab-builder,tsao-structure-prep,AI_for_Science_最全Skill目录(3).xlsx
S0134,defect-generator,tsao-structure-prep,AI_for_Science_最全Skill目录(3).xlsx
S0171,catalyst-structure-generator,tsao-structure-prep,AI_for_Science_最全Skill目录(3).xlsx
S0172,adsorption-site-sampler,tsao-structure-prep,AI_for_Science_最全Skill目录(3).xlsx
S0131,crystal-structure-builder,tsao-periodic-dft-materials,AI_for_Science_最全Skill目录(3).xlsx
S0132,symmetry-analyzer,tsao-periodic-dft-materials,AI_for_Science_最全Skill目录(3).xlsx
S0133,surface-slab-builder,tsao-periodic-dft-materials,AI_for_Science_最全Skill目录(3).xlsx
S0134,defect-generator,tsao-periodic-dft-materials,AI_for_Science_最全Skill目录(3).xlsx
S0135,kpoint-convergence,tsao-periodic-dft-materials,AI_for_Science_最全Skill目录(3).xlsx
S0136,cutoff-convergence,tsao-periodic-dft-materials,AI_for_Science_最全Skill目录(3).xlsx
S0137,band-structure-analysis,tsao-periodic-dft-materials,AI_for_Science_最全Skill目录(3).xlsx
S0138,dos-pdos-analysis,tsao-periodic-dft-materials,AI_for_Science_最全Skill目录(3).xlsx
S0139,phonon-analysis,tsao-periodic-dft-materials,AI_for_Science_最全Skill目录(3).xlsx
S0140,elastic-property-calculator,tsao-periodic-dft-materials,AI_for_Science_最全Skill目录(3).xlsx
S0141,defect-formation-energy,tsao-periodic-dft-materials,AI_for_Science_最全Skill目录(3).xlsx
S0142,adsorption-energy-calculator,tsao-periodic-dft-materials,AI_for_Science_最全Skill目录(3).xlsx
S0143,neb-barrier,tsao-periodic-dft-materials,AI_for_Science_最全Skill目录(3).xlsx
S0144,high-throughput-dft,tsao-periodic-dft-materials,AI_for_Science_最全Skill目录(3).xlsx
S0080,multi-fidelity-learning,tsao-dft-ml-active-learning,AI_for_Science_最全Skill目录(3).xlsx
S0081,physics-informed-ml,tsao-dft-ml-active-learning,AI_for_Science_最全Skill目录(3).xlsx
S0082,graph-neural-network,tsao-dft-ml-active-learning,AI_for_Science_最全Skill目录(3).xlsx
S0083,surrogate-model-builder,tsao-dft-ml-active-learning,AI_for_Science_最全Skill目录(3).xlsx
S0084,model-calibration,tsao-dft-ml-active-learning,AI_for_Science_最全Skill目录(3).xlsx
S0085,applicability-domain,tsao-dft-ml-active-learning,AI_for_Science_最全Skill目录(3).xlsx
S0086,data-leakage-detector,tsao-dft-ml-active-learning,AI_for_Science_最全Skill目录(3).xlsx
S0087,cross-validation-designer,tsao-dft-ml-active-learning,AI_for_Science_最全Skill目录(3).xlsx
S0088,explainable-ai-science,tsao-dft-ml-active-learning,AI_for_Science_最全Skill目录(3).xlsx
S0089,ml-uncertainty-estimator,tsao-dft-ml-active-learning,AI_for_Science_最全Skill目录(3).xlsx
S0090,active-learning-loop,tsao-dft-ml-active-learning,AI_for_Science_最全Skill目录(3).xlsx
S0091,bayesian-optimization,tsao-dft-ml-active-learning,AI_for_Science_最全Skill目录(3).xlsx
S0092,multi-objective-optimizer,tsao-dft-ml-active-learning,AI_for_Science_最全Skill目录(3).xlsx
S0093,generative-molecule-designer,tsao-dft-ml-active-learning,AI_for_Science_最全Skill目录(3).xlsx
S0094,generative-material-designer,tsao-dft-ml-active-learning,AI_for_Science_最全Skill目录(3).xlsx
S0095,inverse-design-engine,tsao-dft-ml-active-learning,AI_for_Science_最全Skill目录(3).xlsx
S0096,autoresearch-loop,tsao-dft-ml-active-learning,AI_for_Science_最全Skill目录(3).xlsx
S0279,hpc-environment-inspector,tsao-dft-hpc-provenance,AI_for_Science_最全Skill目录(3).xlsx
S0280,dependency-validator,tsao-dft-hpc-provenance,AI_for_Science_最全Skill目录(3).xlsx
S0281,job-script-generator,tsao-dft-hpc-provenance,AI_for_Science_最全Skill目录(3).xlsx
S0282,batch-calculation-generator,tsao-dft-hpc-provenance,AI_for_Science_最全Skill目录(3).xlsx
S0283,job-submitter,tsao-dft-hpc-provenance,AI_for_Science_最全Skill目录(3).xlsx
S0284,job-status-monitor,tsao-dft-hpc-provenance,AI_for_Science_最全Skill目录(3).xlsx
S0285,failure-log-classifier,tsao-dft-hpc-provenance,AI_for_Science_最全Skill目录(3).xlsx
S0286,auto-restart,tsao-dft-hpc-provenance,AI_for_Science_最全Skill目录(3).xlsx
S0287,resource-optimizer,tsao-dft-hpc-provenance,AI_for_Science_最全Skill目录(3).xlsx
S0288,checkpoint-manager,tsao-dft-hpc-provenance,AI_for_Science_最全Skill目录(3).xlsx
S0289,result-collector,tsao-dft-hpc-provenance,AI_for_Science_最全Skill目录(3).xlsx
S0290,calculation-provenance,tsao-dft-hpc-provenance,AI_for_Science_最全Skill目录(3).xlsx
S0291,workflow-dag,tsao-dft-hpc-provenance,AI_for_Science_最全Skill目录(3).xlsx
S0292,container-builder,tsao-dft-hpc-provenance,AI_for_Science_最全Skill目录(3).xlsx
S0293,reproducible-env-packager,tsao-dft-hpc-provenance,AI_for_Science_最全Skill目录(3).xlsx
S0294,cloud-hpc-orchestrator,tsao-dft-hpc-provenance,AI_for_Science_最全Skill目录(3).xlsx
S0295,hpc-cost-estimator,tsao-dft-hpc-provenance,AI_for_Science_最全Skill目录(3).xlsx
S0296,reproducibility-checker,tsao-dft-hpc-provenance,AI_for_Science_最全Skill目录(3).xlsx
S0297,scientific-ci,tsao-dft-hpc-provenance,AI_for_Science_最全Skill目录(3).xlsx
S0298,supply-chain-security,tsao-dft-hpc-provenance,AI_for_Science_最全Skill目录(3).xlsx
S0168,multiscale-mapper,tsao-dft-kinetics-multiscale,AI_for_Science_最全Skill目录(3).xlsx
S0173,reaction-network-generator,tsao-dft-kinetics-multiscale,AI_for_Science_最全Skill目录(3).xlsx
S0174,rate-determining-step,tsao-dft-kinetics-multiscale,AI_for_Science_最全Skill目录(3).xlsx
S0175,catalyst-descriptor-extractor,tsao-dft-kinetics-multiscale,AI_for_Science_最全Skill目录(3).xlsx
S0176,volcano-plot-builder,tsao-dft-kinetics-multiscale,AI_for_Science_最全Skill目录(3).xlsx
S0177,microkinetic-model,tsao-dft-kinetics-multiscale,AI_for_Science_最全Skill目录(3).xlsx
S0178,kinetic-monte-carlo,tsao-dft-kinetics-multiscale,AI_for_Science_最全Skill目录(3).xlsx
S0185,polymerization-kinetics,tsao-dft-kinetics-multiscale,AI_for_Science_最全Skill目录(3).xlsx
S0186,population-balance,tsao-dft-kinetics-multiscale,AI_for_Science_最全Skill目录(3).xlsx
S0190,polymer-reactor-coupler,tsao-dft-kinetics-multiscale,AI_for_Science_最全Skill目录(3).xlsx
S0191,polymerization-parameter-fit,tsao-dft-kinetics-multiscale,AI_for_Science_最全Skill目录(3).xlsx
S0169,catalyst-literature-miner,tsao-dft-catalysis-profile,AI_for_Science_最全Skill目录(3).xlsx
S0170,active-site-identifier,tsao-dft-catalysis-profile,AI_for_Science_最全Skill目录(3).xlsx
S0171,catalyst-structure-generator,tsao-dft-catalysis-profile,AI_for_Science_最全Skill目录(3).xlsx
S0172,adsorption-site-sampler,tsao-dft-catalysis-profile,AI_for_Science_最全Skill目录(3).xlsx
S0173,reaction-network-generator,tsao-dft-catalysis-profile,AI_for_Science_最全Skill目录(3).xlsx
S0174,rate-determining-step,tsao-dft-catalysis-profile,AI_for_Science_最全Skill目录(3).xlsx
S0180,polymerization-mechanism,tsao-dft-catalysis-profile,AI_for_Science_最全Skill目录(3).xlsx
S0181,polymerization-dft,tsao-dft-catalysis-profile,AI_for_Science_最全Skill目录(3).xlsx
S0182,comonomer-incorporation,tsao-dft-catalysis-profile,AI_for_Science_最全Skill目录(3).xlsx
S0183,stereoselectivity,tsao-dft-catalysis-profile,AI_for_Science_最全Skill目录(3).xlsx
S0184,chain-transfer-analysis,tsao-dft-catalysis-profile,AI_for_Science_最全Skill目录(3).xlsx
